# Cycle: 1, status: ACC
#     Step              Filename       index    vel
         0  001_481662_2_trajB.traj           0     -1
         1  001_481662_1_trajF.traj           0      1
         2  001_481662_1_trajF.traj           1      1
         3  001_481662_1_trajF.traj           2      1
         4  001_481662_1_trajF.traj           3      1
         5  001_481662_1_trajF.traj           4      1
         6  001_481662_1_trajF.traj           5      1
         7  001_481662_1_trajF.traj           6      1
         8  001_481662_1_trajF.traj           7      1
         9  001_481662_1_trajF.traj           8      1
        10  001_481662_1_trajF.traj           9      1
        11  001_481662_1_trajF.traj          10      1
        12  001_481662_1_trajF.traj          11      1
        13  001_481662_1_trajF.traj          12      1
        14  001_481662_1_trajF.traj          13      1
        15  001_481662_1_trajF.traj          14      1
        16  001_481662_1_trajF.traj          15      1
        17  001_481662_1_trajF.traj          16      1
        18  001_481662_1_trajF.traj          17      1
        19  001_481662_1_trajF.traj          18      1
        20  001_481662_1_trajF.traj          19      1
        21  001_481662_1_trajF.traj          20      1
        22  001_481662_1_trajF.traj          21      1
        23  001_481662_1_trajF.traj          22      1
        24  001_481662_1_trajF.traj          23      1
        25  001_481662_1_trajF.traj          24      1
        26  001_481662_1_trajF.traj          25      1
        27  001_481662_1_trajF.traj          26      1
        28  001_481662_1_trajF.traj          27      1
        29  001_481662_1_trajF.traj          28      1
        30  001_481662_1_trajF.traj          29      1
        31  001_481662_1_trajF.traj          30      1
        32  001_481662_1_trajF.traj          31      1
        33  001_481662_1_trajF.traj          32      1
        34  001_481662_1_trajF.traj          33      1
        35  001_481662_1_trajF.traj          34      1
        36  001_481662_1_trajF.traj          35      1
        37  001_481662_1_trajF.traj          36      1
        38  001_481662_1_trajF.traj          37      1
        39  001_481662_1_trajF.traj          38      1
        40  001_481662_1_trajF.traj          39      1
        41  001_481662_1_trajF.traj          40      1
        42  001_481662_1_trajF.traj          41      1
        43  001_481662_1_trajF.traj          42      1
        44  001_481662_1_trajF.traj          43      1
        45  001_481662_1_trajF.traj          44      1
        46  001_481662_1_trajF.traj          45      1
        47  001_481662_1_trajF.traj          46      1
        48  001_481662_1_trajF.traj          47      1
        49  001_481662_1_trajF.traj          48      1
        50  001_481662_1_trajF.traj          49      1
        51  001_481662_1_trajF.traj          50      1
        52  001_481662_1_trajF.traj          51      1
        53  001_481662_1_trajF.traj          52      1
        54  001_481662_1_trajF.traj          53      1
        55  001_481662_1_trajF.traj          54      1
        56  001_481662_1_trajF.traj          55      1
        57  001_481662_1_trajF.traj          56      1
        58  001_481662_1_trajF.traj          57      1
        59  001_481662_1_trajF.traj          58      1
