#       time           order
         0         11.7729
         1         13.3337
         2         13.3347
         3         13.3357
         4         13.3414
         5         13.3444
         6         13.3453
         7         13.3476
         8         13.3501
         9         13.3516
        10         13.3522
        11         13.3536
        12         13.3543
        13         13.3588
        14         13.3612
        15         13.3612
        16         13.3620
        17         13.3647
        18         13.3649
        19         13.3649
        20         13.3661
        21         13.3661
        22         13.3662
        23         13.3672
        24         13.3695
        25         13.3730
        26         13.3731
        27         13.3734
        28         13.3742
        29         13.3752
        30         13.3763
        31         13.3769
        32         13.3770
        33         13.3771
        34         13.3774
        35         13.3796
        36         11.7729
