# Cycle: 51, status: ACC, move: None
#     Time       Orderp
         0     0.274569
         1     0.287967
         2     0.299858
         3     0.309562
         4     0.317048
         5     0.323196
         6     0.328283
         7     0.332557
         8     0.337083
         9     0.341440
        10     0.345316
        11     0.348894
        12     0.351554
        13     0.353142
        14     0.354110
        15     0.354417
        16     0.352847
        17     0.348839
        18     0.342947
        19     0.336430
        20     0.329842
        21     0.322940
        22     0.316233
        23     0.310850
        24     0.308307
        25     0.308705
        26     0.310960
        27     0.312890
        28     0.314986
        29     0.318196
        30     0.322790
        31     0.327849
        32     0.333504
        33     0.339584
        34     0.345279
        35     0.350223
        36     0.354734
        37     0.358346
        38     0.359497
        39     0.359535
        40     0.359730
        41     0.361538
        42     0.365179
        43     0.369876
        44     0.375245
        45     0.380488
        46     0.386288
        47     0.393092
        48     0.399084
        49     0.403204
