# Cycle: 90, status: ACC, move: ('sh', 3.675539047826864, 14, 16)
#     Time       Orderp
         0     2.771801
         1     2.815367
         2     2.896955
         3     2.985739
         4     3.084604
         5     3.175615
         6     3.240117
         7     3.280199
         8     3.312089
         9     3.345229
        10     3.389010
        11     3.454605
        12     3.527164
        13     3.593359
        14     3.650231
        15     3.681080
        16     3.675539
        17     3.632491
        18     3.572135
        19     3.514135
        20     3.462835
        21     3.408514
        22     3.361925
        23     3.327178
        24     3.296789
        25     3.266298
        26     3.247608
        27     3.250227
        28     3.274345
        29     3.300698
        30     3.301900
        31     3.283611
        32     3.264171
        33     3.272159
        34     3.308150
        35     3.362264
        36     3.410235
        37     3.442313
        38     3.447958
        39     3.439827
        40     3.409590
        41     3.362164
        42     3.319062
        43     3.284988
        44     3.250194
        45     3.213483
        46     3.177326
        47     3.139734
        48     3.115695
        49     3.101392
        50     3.084209
        51     3.051825
        52     3.004412
        53     2.952236
        54     2.895010
        55     2.841143
        56     2.786463
