#       time        trajfile      index   vel
         0        traj.trr          0     1
         1        traj.trr          1     1
         2        traj.trr          2     1
         3        traj.trr          3     1
         4        traj.trr          4     1
         5        traj.trr          5     1
         6        traj.trr          6     1
         7        traj.trr          7     1
         8        traj.trr          8     1
         9        traj.trr          9     1
        10        traj.trr         10     1
        11        traj.trr         11     1
        12        traj.trr         12     1
        13        traj.trr         13     1
        14        traj.trr         14     1
        15        traj.trr         15     1
        16        traj.trr         16     1
        17        traj.trr         17     1
        18        traj.trr         18     1
        19        traj.trr         19     1
        20        traj.trr         20     1
        21        traj.trr         21     1
        22        traj.trr         22     1
        23        traj.trr         23     1
        24        traj.trr         24     1
        25        traj.trr         25     1
        26        traj.trr         26     1
        27        traj.trr         27     1
        28        traj.trr         28     1
        29        traj.trr         29     1
        30        traj.trr         30     1
        31        traj.trr         31     1
        32        traj.trr         32     1
        33        traj.trr         33     1
        34        traj.trr         34     1
        35        traj.trr         35     1
        36        traj.trr         36     1
        37        traj.trr         37     1
        38        traj.trr         38     1
        39        traj.trr         39     1
        40        traj.trr         40     1
        41        traj.trr         41     1
        42        traj.trr         42     1
        43        traj.trr         43     1
        44        traj.trr         44     1
        45        traj.trr         45     1
        46        traj.trr         46     1
        47        traj.trr         47     1
        48        traj.trr         48     1
        49        traj.trr         49     1
        50        traj.trr         50     1
        51        traj.trr         51     1
        52        traj.trr         52     1
        53        traj.trr         53     1
        54        traj.trr         54     1
        55        traj.trr         55     1
        56        traj.trr         56     1
        57        traj.trr         57     1
        58        traj.trr         58     1
        59        traj.trr         59     1
        60        traj.trr         60     1
        61        traj.trr         61     1
        62        traj.trr         62     1
        63        traj.trr         63     1
        64        traj.trr         64     1
        65        traj.trr         65     1
        66        traj.trr         66     1
        67        traj.trr         67     1
        68        traj.trr         68     1
        69        traj.trr         69     1
        70        traj.trr         70     1
        71        traj.trr         71     1
        72        traj.trr         72     1
        73        traj.trr         73     1
        74        traj.trr         74     1
        75        traj.trr         75     1
        76        traj.trr         76     1
        77        traj.trr         77     1
        78        traj.trr         78     1
        79        traj.trr         79     1
        80        traj.trr         80     1
        81        traj.trr         81     1
        82        traj.trr         82     1
        83        traj.trr         83     1
        84        traj.trr         84     1
        85        traj.trr         85     1
        86        traj.trr         86     1
        87        traj.trr         87     1
        88        traj.trr         88     1
        89        traj.trr         89     1
        90        traj.trr         90     1
        91        traj.trr         91     1
        92        traj.trr         92     1
        93        traj.trr         93     1
        94        traj.trr         94     1
        95        traj.trr         95     1
        96        traj.trr         96     1
