#       time           order
         0         -0.5501
         1         -0.5278
         2         -0.5278
         3         -0.5278
         4         -0.5278
         5         -0.5278
         6         -0.5277
         7         -0.5277
         8         -0.5277
         9         -0.5277
        10         -0.5277
        11         -0.5277
        12         -0.5277
        13         -0.5277
        14         -0.5276
        15         -0.5276
        16         -0.5276
        17         -0.5276
        18         -0.5276
        19         -0.5276
        20         -0.5276
        21         -0.5276
        22         -0.5276
        23         -0.5275
        24         -0.5275
        25         -0.5275
        26         -0.5275
        27         -0.5275
        28         -0.5274
        29         -0.5274
        30         -0.5274
        31         -0.5274
        32         -0.5274
        33         -0.5274
        34         -0.5273
        35         -0.5273
        36         -0.5273
        37         -0.5273
        38         -0.5273
        39         -0.5273
        40         -0.5272
        41         -0.5272
        42         -0.5272
        43         -0.5272
        44         -0.5271
        45         -0.5271
        46         -0.5501
