#       time           order
         0         -0.5501
         1         -0.4710
         2         -0.4710
         3         -0.4710
         4         -0.4710
         5         -0.4710
         6         -0.4709
         7         -0.4709
         8         -0.4709
         9         -0.4708
        10         -0.4708
        11         -0.4708
        12         -0.4708
        13         -0.4708
        14         -0.4708
        15         -0.4708
        16         -0.4707
        17         -0.4707
        18         -0.4707
        19         -0.4706
        20         -0.4706
        21         -0.4706
        22         -0.4706
        23         -0.4706
        24         -0.4705
        25         -0.4705
        26         -0.4705
        27         -0.4705
        28         -0.4705
        29         -0.4704
        30         -0.4704
        31         -0.4704
        32         -0.4704
        33         -0.4703
        34         -0.4703
        35         -0.4702
        36         -0.4702
        37         -0.4702
        38         -0.4702
        39         -0.4702
        40         -0.4702
        41         -0.4702
        42         -0.4701
        43         -0.4701
        44         -0.4701
        45         -0.4701
        46         -0.4701
        47         -0.4701
        48         -0.4701
        49         -0.4700
        50         -0.4700
        51         -0.4700
        52         -0.4700
        53         -0.4700
        54         -0.4700
        55         -0.4700
        56         -0.4700
        57         -0.4699
        58         -0.4699
        59         -0.4699
        60         -0.4699
        61         -0.4699
        62         -0.4699
        63         -0.4698
        64         -0.4698
        65         -0.4698
        66         -0.4698
        67         -0.4698
        68         -0.4697
        69         -0.4697
        70         -0.4697
        71         -0.4697
        72         -0.4697
        73         -0.4696
        74         -0.4696
        75         -0.4695
        76         -0.4695
        77         -0.4695
        78         -0.4695
        79         -0.4695
        80         -0.4695
        81         -0.4695
        82         -0.4695
        83         -0.4694
        84         -0.4694
        85         -0.4694
        86         -0.4694
        87         -0.4694
        88         -0.4694
        89         -0.4693
        90         -0.4693
        91         -0.4693
        92         -0.4693
        93         -0.4692
        94         -0.4692
        95         -0.4692
        96         -0.4692
        97         -0.4691
        98         -0.4691
        99         -0.4691
       100         -0.4691
       101         -0.5501
