#       time           order
         0          1.0699
         1          1.3151
         2          1.3161
         3          1.3174
         4          1.3175
         5          1.3175
         6          1.3185
         7          1.3187
         8          1.3204
         9          1.3206
        10          1.3215
        11          1.3223
        12          1.3224
        13          1.3225
        14          1.3226
        15          1.3236
        16          1.3239
        17          1.3239
        18          1.3240
        19          1.3273
        20          1.3309
        21          1.3309
        22          1.3312
        23          1.3318
        24          1.3334
        25          1.3356
        26          1.3356
        27          1.3387
        28          1.3392
        29          1.3394
        30          1.3408
        31          1.3436
        32          1.0699
