#       time           order
         0          1.0699
         1          1.3888
         2          1.3888
         3          1.3888
         4          1.3892
         5          1.3894
         6          1.3922
         7          1.3930
         8          1.3978
         9          1.3993
        10          1.4004
        11          1.4039
        12          1.4057
        13          1.4064
        14          1.4070
        15          1.4074
        16          1.4096
        17          1.4114
        18          1.4119
        19          1.4120
        20          1.4163
        21          1.4179
        22          1.4183
        23          1.4186
        24          1.4188
        25          1.4199
        26          1.4270
        27          1.4283
        28          1.4297
        29          1.4325
        30          1.4379
        31          1.4389
        32          1.4411
        33          1.4421
        34          1.4456
        35          1.4456
        36          1.4493
        37          1.0699
