# Cycle: 9983, status: ACC
#     Step              Filename       index    vel
         0  021_3518_trajB.lammpstrj          20     -1
         1  021_3518_trajB.lammpstrj          19     -1
         2  021_3518_trajB.lammpstrj          18     -1
         3  021_3518_trajB.lammpstrj          17     -1
         4  021_3518_trajB.lammpstrj          16     -1
         5  021_3518_trajB.lammpstrj          15     -1
         6  021_3518_trajB.lammpstrj          14     -1
         7  021_3518_trajB.lammpstrj          13     -1
         8  021_3518_trajB.lammpstrj          12     -1
         9  021_3518_trajB.lammpstrj          11     -1
        10  021_3518_trajB.lammpstrj          10     -1
        11  021_3518_trajB.lammpstrj           9     -1
        12  021_3518_trajB.lammpstrj           8     -1
        13  021_3518_trajB.lammpstrj           7     -1
        14  021_3518_trajB.lammpstrj           6     -1
        15  021_3518_trajB.lammpstrj           5     -1
        16  021_3518_trajB.lammpstrj           4     -1
        17  021_3518_trajB.lammpstrj           3     -1
        18  021_3518_trajB.lammpstrj           2     -1
        19  021_3518_trajB.lammpstrj           1     -1
        20  021_3518_trajB.lammpstrj           0     -1
        21  021_3516_trajB.lammpstrj           0     -1
        22  021_3517_trajF.lammpstrj           1      1
        23  021_3517_trajF.lammpstrj           2      1
        24  021_3519_trajF.lammpstrj           0      1
        25  021_3519_trajF.lammpstrj           1      1
        26  021_3519_trajF.lammpstrj           2      1
        27  021_3519_trajF.lammpstrj           3      1
        28  021_3519_trajF.lammpstrj           4      1
        29  021_3519_trajF.lammpstrj           5      1
        30  021_3519_trajF.lammpstrj           6      1
        31  021_3519_trajF.lammpstrj           7      1
        32  021_3519_trajF.lammpstrj           8      1
