#       time        trajfile      index   vel
         0        traj.xyz          0     1
         1        traj.xyz          1     1
         2        traj.xyz          2     1
         3        traj.xyz          3     1
         4        traj.xyz          4     1
         5        traj.xyz          5     1
         6        traj.xyz          6     1
         7        traj.xyz          7     1
         8        traj.xyz          8     1
         9        traj.xyz          9     1
        10        traj.xyz         10     1
        11        traj.xyz         11     1
        12        traj.xyz         12     1
        13        traj.xyz         13     1
        14        traj.xyz         14     1
        15        traj.xyz         15     1
        16        traj.xyz         16     1
        17        traj.xyz         17     1
        18        traj.xyz         18     1
        19        traj.xyz         19     1
        20        traj.xyz         20     1
        21        traj.xyz         21     1
        22        traj.xyz         22     1
        23        traj.xyz         23     1
        24        traj.xyz         24     1
        25        traj.xyz         25     1
        26        traj.xyz         26     1
        27        traj.xyz         27     1
