#       time           order
         0          1.0699
         1          2.8666
         2          2.9336
         3          2.9354
         4          2.9384
         5          2.9398
         6          2.9560
         7          2.9622
         8          2.9623
         9          2.9632
        10          2.9719
        11          2.9887
        12          2.9925
        13          3.0013
        14          3.0024
        15          3.0043
        16          3.0062
        17          3.0084
        18          3.0138
        19          3.0154
        20          3.0159
        21          3.0160
        22          3.0211
        23          3.0248
        24          3.0252
        25          3.0265
        26          3.0333
        27          3.0381
        28          3.0404
        29          3.0418
        30          3.0435
        31          3.0453
        32          3.0458
        33          3.0462
        34          3.0470
        35          3.0473
        36          3.0481
        37          3.0491
        38          3.0524
        39          3.0542
        40          3.0631
        41          1.0699
